instance family sat glasgowdegreenorestartsnonogoods glasgowantinorestartsnonogoods glasgowrandomnorestartsnonogoods glasgowbiasednorestartsnonogoods glasgowdegreenorestartsnonogoodsdds glasgowrandom glasgowbiased glasgowbiasednonogoods glasgowbiasedconstant5400 glasgowbiasedthreads36v1 glasgowbiasedthreads36v2 glasgowbiasedconstant5400threads36v1 glasgowbiasedconstant5400threads36v2 glasgowbiasedconstant5400triggeredthreads36v1 glasgowbiasedconstant5400triggeredthreads36v2 glasgowbiasedrestartsconstant5400triggeredmpih5x2t18 glasgowbiasedrestartsconstant5400triggeredmpih10x2t18 glasgowrandomrestartsconstant5400triggeredmpih5x2t18 glasgowbiasedrestartsconstant5400triggerednr32mpih5x2t18 glasgowbiasedtimer100 glasgowbiasedtimer100triggeredthreads36v1 glasgowbiasedtimer100triggeredthreads36v2 glasgowbiasedtimer100triggeredthreads36mpih5x2t18 glasgowbiasedtimer100triggeredthreads36mpih10x2t18 glasgowbiasedtimer100triggeredthreads36mpih20x2t18
E.12 1 0 1 1 1 1 2 1 1 1 1 2 2 3 2 2 2 0 0 0 0 1 2 3 0 0 0
C.06 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 1 1 1 0 0 0
C.09 1 1 1 1 1 1 1 1 1 1 1 3 1 1 1 3 1 0 0 0 0 1 2 1 0 0 0
B.17 1 1 1 1 1 1 1 1 1 1 1 3 1 1 1 1 1 0 0 0 0 1 1 1 0 0 0
C.07 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 0 0 0 0 1 4 1 0 0 0
E.09 1 0 1 1 1 1 2 1 1 1 1 3 1 3 2 2 2 0 0 0 0 1 3 3 0 0 0
E.17 1 0 1 1 1 1 2 1 1 1 1 2 1 3 3 3 2 0 0 0 0 1 3 2 0 0 0
C.11 1 1 1 1 1 1 1 1 1 1 1 3 1 1 1 1 1 0 0 0 0 1 1 1 0 0 0
F.10 1 0 1 1 1 1 2 1 1 1 1 3 1 2 2 3 3 0 0 0 0 1 3 3 0 0 0
A.17 1 1 1 1 1 1 1 1 1 1 1 3 1 2 1 1 5 0 0 0 0 1 2 7 0 0 0
B.15 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 0 0 0 0 1 1 1 0 0 0
E.03 1 0 1 1 1 1 2 1 1 1 1 2 1 3 3 2 2 0 0 0 0 1 3 3 0 0 0
F.19 1 1 8 9 9 8 8 9 8 8 8 205 254 171 181 182 162 0 0 0 0 8 170 180 0 0 0
A.12 1 1 1 1 1 1 1 1 1 1 1 1 1 5 1 3 1 0 0 0 0 1 4 6 0 0 0
B.08 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 3 0 0 0 0 1 2 4 0 0 0
F.17 1 1 18 21 21 18 18 21 18 18 18 402 364 479 475 530 468 0 0 0 0 18 328 477 0 0 0
C.04 1 1 2 2 2 2 2 2 2 2 2 37 37 37 37 37 37 0 0 0 0 2 37 37 0 0 0
B.19 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 0 0 0 0 1 1 3 0 0 0
C.16 1 1 1 1 1 1 1 1 1 1 1 1 1 2 3 2 3 0 0 0 0 1 1 2 0 0 0
C.17 1 1 2 2 2 2 2 2 2 2 2 37 37 37 37 37 39 0 0 0 0 2 37 37 0 0 0
E.08 1 0 1 1 1 1 2 1 1 1 1 3 3 2 3 1 2 0 0 0 0 1 2 1 0 0 0
F.13 1 1 44 84 72 44 787 72 44 44 44 1552 1570 1522 1539 1549 1138 0 0 0 0 44 1535 1575 0 0 0
A.20 1 1 1 1 1 1 1 1 1 1 1 2 4 3 3 4 1 0 0 0 0 1 6 5 0 0 0
E.02 1 0 1 1 1 1 2 1 1 1 1 2 3 3 3 4 2 0 0 0 0 1 3 3 0 0 0
E.16 1 0 1 1 1 1 2 1 1 1 1 2 1 2 2 2 2 0 0 0 0 1 2 2 0 0 0
B.12 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 0 0 0 0 1 1 1 0 0 0
F.09 1 1 17 42 33 21 124 33 21 21 21 531 452 581 569 426 353 0 0 0 0 21 605 544 0 0 0
A.10 1 1 1 1 1 1 1 1 1 1 1 3 1 1 1 1 3 0 0 0 0 1 4 5 0 0 0
F.18 1 1 1 1 1 1 1 1 1 1 1 1 1 2 5 3 1 0 0 0 0 1 3 3 0 0 0
E.10 1 1 1 1 1 1 1 1 1 1 1 3 1 1 1 2 3 0 0 0 0 1 1 1 0 0 0
A.06 1 1 1 1 1 1 1 1 1 1 1 4 2 4 2 3 3 0 0 0 0 1 1 2 0 0 0
E.15 1 0 1 1 1 1 2 1 1 1 1 3 1 4 3 3 2 0 0 0 0 1 2 2 0 0 0
E.07 1 0 1 1 1 1 2 1 1 1 1 2 3 3 2 2 3 0 0 0 0 1 2 1 0 0 0
