instance family sequentialixinduced3 sequentialixinducedrestarts5
si4_b03_m800.04 3 547 486
si4_b03_m800.01 3 509 481
si4_b03_m800.06 3 513 596
si4_b03_m800.07 3 526 447
si6_m4D_m1296.02 5 1882 1524
si6_m4D_m1296.07 5 2672 4354
si6_m4D_m1296.05 5 1961 1529
si6_m4D_m1296.09 5 2773 2327
si6_m4D_m1296.00 5 644061 25353
si6_m4D_m1296.08 5 1550 1560
si6_m4D_m1296.04 5 1767 1629
si6_m4D_m1296.06 5 2472 2907
si6_m4D_m1296.01 5 182988 5539
si6_m4D_m1296.03 5 7176 12076
si6_r001_m200.05 7 29 48
si6_r001_m200.09 7 24 39
si6_r001_m200.07 7 44 39
si6_r001_m200.02 7 39 39
si6_r001_m200.01 7 28 45
si6_r001_m200.00 7 37 48
si6_r001_m200.04 7 28 41
si6_r001_m200.06 7 43 39
si6_r001_m200.08 7 23 23
si6_r001_m200.03 7 40 49
si4_b06_m400.06 3 187 174
si4_b06_m400.07 3 157 161
si4_b06_m400.09 3 157 141
si4_b06_m400.01 3 160 146
si4_b06_m400.04 3 152 160
si4_b06_m400.03 3 175 138
si4_b06_m400.00 3 152 145
si4_b06_m400.05 3 139 144
si4_b06_m400.08 3 110 96
si4_b06_m400.02 3 93 167
si2_m4Dr6_m256.06 6 47 40
si2_m4Dr6_m256.05 6 38 23
si2_m4Dr6_m256.09 6 27 39
si2_m4Dr6_m256.00 6 39 37
si2_m4Dr6_m256.07 6 48 38
si2_m4Dr6_m256.04 6 22 38
si2_m4Dr6_m256.02 6 44 40
si2_m4Dr6_m256.01 6 23 37
si2_m4Dr6_m256.08 6 44 52
si2_m4Dr6_m256.03 6 36 38
si6_r01_m200.04 7 84 161
si6_r01_m200.08 7 311 215
si6_r01_m200.02 7 548 628
si6_r01_m200.09 7 76 622
si6_r01_m200.07 7 250 255
si6_r01_m200.00 7 686 793
si6_r01_m200.01 7 148 152
si6_r01_m200.03 7 1710 1959
si6_r01_m200.05 7 565 469
si6_r01_m200.06 7 336 288
si2_b03m_m800.03 4 269 309
si2_b03m_m800.02 4 282 261
si2_b03m_m800.09 4 361 317
si2_b03m_m800.04 4 279 360
si2_b03m_m800.06 4 240 323
si2_b03m_m800.05 4 321 260
si2_b03m_m800.01 4 345 384
si2_b03m_m800.08 4 248 313
si2_b03m_m800.07 4 232 291
si2_b03m_m800.00 4 263 327
si2_r001_m200.06 7 68 33
si2_r001_m200.01 7 25 26
si2_r001_m200.02 7 26 28
si2_r001_m200.07 7 22 22
si2_r001_m200.04 7 28 23
si2_r001_m200.05 7 21 140
si2_r001_m200.09 7 375 289
si2_r001_m200.03 7 22 22
si2_r001_m200.00 7 27 14
si2_r001_m200.08 7 26 24
si6_b03m_m800.01 4 478 529
si6_b03m_m800.08 4 524 596
si6_b03m_m800.03 4 757 509
si6_b03m_m800.00 4 499 507
si6_b03m_m800.04 4 597 532
si6_b03m_m800.05 4 641 676
si6_b03m_m800.07 4 604 630
si6_b03m_m800.06 4 506 632
si6_b03m_m800.09 4 530 547
si6_b03m_m800.02 4 496 549
si4_r005_m200.00 7 198 208
si4_r005_m200.08 7 70 38
si4_r005_m200.02 7 125 185
si4_r005_m200.05 7 72 78
si4_r005_m200.06 7 56 91
si4_r005_m200.04 7 69 57
si4_r005_m200.07 7 72 114
si4_r005_m200.09 7 124 126
si4_r005_m200.01 7 72 73
si4_r005_m200.03 7 96 201
si6_b09m_m400.03 4 116 201
si6_b09m_m400.07 4 199 167
si6_b09m_m400.00 4 167 160
si6_b09m_m400.04 4 132 138
si6_b09m_m400.06 4 116 156
si6_b09m_m400.08 4 157 207
si6_b09m_m400.02 4 203 200
si6_b09m_m400.05 4 124 115
si6_b09m_m400.09 4 155 152
si6_b09m_m400.01 4 153 202
si2_b09_m200.08 3 30 15
si2_b09_m200.01 3 24 26
si2_b09_m200.06 3 25 15
si2_b09_m200.05 3 15 16
si2_b09_m200.00 3 27 15
si2_b09_m200.02 3 26 20
si2_b09_m200.03 3 25 21
si2_b09_m200.04 3 26 15
si2_b09_m200.09 3 26 15
si2_b09_m200.07 3 23 26
si6_r01_m600.02 7 16899 16573
si6_r01_m600.06 7 807 5002
si6_r01_m600.09 7 57149 50617
si6_r01_m600.08 7 422670 NaN
si6_r01_m600.05 7 1295 2124
si6_r01_m600.07 7 38231 52539
si6_r01_m600.03 7 25564 25101
si6_r01_m600.00 7 11086 15366
si6_r01_m600.01 7 3653 3634
si6_r01_m600.04 7 143291 NaN
si2_b06_m200.02 3 31 14
si2_b06_m200.00 3 23 14
si2_b06_m200.01 3 20 31
si2_b06_m200.06 3 24 24
si2_b06_m200.09 3 27 24
si2_b06_m200.07 3 14 29
si2_b06_m200.04 3 23 24
si2_b06_m200.08 3 24 32
si2_b06_m200.03 3 23 24
si2_b06_m200.05 3 22 24
si6_m4Dr2_m1296.05 6 1792 1869
si6_m4Dr2_m1296.09 6 1966 2004
si6_m4Dr2_m1296.01 6 2200 2120
si6_m4Dr2_m1296.06 6 1897 2066
si6_m4Dr2_m1296.07 6 1863 2140
si6_m4Dr2_m1296.03 6 1788 1791
si6_m4Dr2_m1296.04 6 2051 1705
si6_m4Dr2_m1296.00 6 1930 1873
si6_m4Dr2_m1296.08 6 1751 1876
si6_m4Dr2_m1296.02 6 1803 1817
si2_b09m_m800.09 4 379 410
si2_b09m_m800.07 4 406 349
si2_b09m_m800.00 4 324 280
si2_b09m_m800.04 4 345 386
si2_b09m_m800.02 4 364 414
si2_b09m_m800.05 4 285 342
si2_b09m_m800.03 4 313 298
si2_b09m_m800.08 4 342 410
si2_b09m_m800.06 4 363 280
si2_b09m_m800.01 4 329 281
si4_b03_m400.01 3 133 169
si4_b03_m400.02 3 159 168
si4_b03_m400.05 3 107 126
si4_b03_m400.07 3 158 147
si4_b03_m400.06 3 133 168
si4_b03_m400.00 3 167 143
si4_b03_m400.03 3 168 103
si4_b03_m400.04 3 119 136
si4_b03_m400.09 3 150 158
si4_b03_m400.08 3 165 90
si2_b03_m200.05 3 26 29
si2_b03_m200.09 3 22 22
si2_b03_m200.07 3 21 22
si2_b03_m200.01 3 22 22
si2_b03_m200.08 3 26 22
si2_b03_m200.02 3 13 22
si2_b03_m200.04 3 13 13
si2_b03_m200.03 3 19 24
si2_b03_m200.06 3 25 27
