instance family sat glasgowdegreenorestartsnonogoodsinduced glasgowbiasedinduced pathladinduced vf2induced vf3induced riinduced
g27-g66-normed 11 0 11 7 003 4 0 7.9155e-05
g27-g73-normed 11 0 13 12 004 113693 120 8.21046
g27-g82-normed 11 0 23 24 002 27 0 0.000147104
g27-g86-normed 11 0 23 13 004 11 0 5.38826e-05
g27-g93-normed 11 0 8913 9111 198422 NaN 76490 680.177
g28-g58-normed 11 0 4 4 017 NaN 1 0.00809789
g28-g59-normed 11 0 5 4 016 NaN 1 0.00378609
g28-g60-normed 11 0 172 92 914 NaN 396 3.066
g28-g66-normed 11 0 15 15 073 NaN 20 1.00065
g28-g73-normed 11 0 357 338 2355 NaN 2075 4.83579
g28-g82-normed 11 0 119 113 86790 NaN 3522 10.1307
g28-g86-normed 11 0 25 14 001 NaN 0 5.38826e-05
g28-g93-normed 11 1 NaN 219234 NaN NaN NaN NaN
g29-g58-normed 11 0 5 4 002 1 0 2.21729e-05
g29-g59-normed 11 0 4 4 000 1 0 2.5034e-05
g29-g60-normed 11 0 6 6 002 169 81 0.457316
g29-g66-normed 11 0 9 9 000 4 0 5.00679e-05
g29-g73-normed 11 0 11 11 004 552 237 0.559274
g29-g82-normed 11 0 26 25 005 29 0 0.000198126
g29-g86-normed 11 0 14 15 004 12 0 3.69549e-05
g29-g93-normed 11 0 42933 43920 NaN NaN 181250 502.616
g3-g58-normed 11 0 2 2 018 1793 37 0.0232852
g3-g59-normed 11 0 2 2 012 945 26 0.0157542
g3-g60-normed 11 0 23 25 367 293022 2670 2.01247
g3-g66-normed 11 0 30 24 561 4211 338 0.285677
g3-g73-normed 11 0 46 45 644 847592 5470 3.10208
g3-g82-normed 11 0 94 103 23403 9178 3622 2.91073
g3-g86-normed 11 0 11 12 150 26 7 0.00498199
g3-g93-normed 11 1 1481 1488 1154 NaN 57 0.0205531
g30-g58-normed 11 0 6 4 001 1 0 2.5034e-05
g30-g59-normed 11 0 4 6 003 1 0 2.00272e-05
g30-g60-normed 11 0 6 6 001 82 0 0.000483036
g30-g66-normed 11 0 10 15 002 3 0 6.60419e-05
g30-g73-normed 11 0 11 13 001 458 0 0.000723124
g30-g82-normed 11 0 25 24 007 17 0 0.000188828
g30-g86-normed 11 0 15 13 001 11 0 5.29289e-05
g30-g93-normed 11 0 2134 1623 581 NaN 0 3.0853
g31-g58-normed 11 0 4 4 001 1 0 2.98023e-05
g31-g59-normed 11 0 8 4 000 1 0 1.81198e-05
g31-g60-normed 11 0 9 6 000 120 49 0.268562
g31-g66-normed 11 0 9 9 001 4 0 8.01086e-05
g31-g73-normed 11 0 11 11 003 339 214 0.3536
g31-g82-normed 11 0 40 24 006 22 0 0.000138998
g31-g86-normed 11 0 22 15 004 8 0 3.91006e-05
g31-g93-normed 11 0 39748 40797 NaN NaN 156746 461.207
g32-g58-normed 11 0 9 9 008 2 0 1.71661e-05
g32-g59-normed 11 0 13 9 003 2 0 1.19209e-05
g32-g60-normed 11 0 14 9 007 5 0 2.19345e-05
g32-g66-normed 11 0 12 18 008 7 0 5.00679e-05
g32-g73-normed 11 0 13 13 013 5 0 4.1008e-05
g32-g82-normed 11 0 23 23 013 18 0 0.000205994
g32-g86-normed 11 0 20 18 007 9 0 6.38962e-05
g32-g93-normed 11 0 4643 4699 511 1497 1267 460.289
g33-g58-normed 11 0 3 3 001 182 1 0.00332403
g33-g59-normed 11 0 3 3 000 97 1 0.00177193
g33-g60-normed 11 0 21 21 254 528712 433 3.42687
g33-g66-normed 11 0 11 10 001 4 0 6.10352e-05
g33-g73-normed 11 0 85 46 697 NaN 1282 5.41437
g33-g82-normed 11 0 48 31 005 37 0 0.000216007
g33-g86-normed 11 0 14 13 002 12 0 3.69549e-05
g33-g93-normed 11 X NaN NaN NaN NaN NaN NaN
g34-g58-normed 11 0 3 5 001 180 15 0.0118141
g34-g59-normed 11 0 3 3 000 162 10 0.0146031
g34-g60-normed 11 0 36 35 398 27818 2035 2.82314
g34-g66-normed 11 0 40 40 13390 232580 154 0.0694079
g34-g73-normed 11 0 201 191 4148 66673 4495 4.73863
g34-g82-normed 11 0 227 244 473970 NaN 1046 0.451824
g34-g86-normed 11 0 13 12 002 7 0 3.50475e-05
g34-g93-normed 11 X NaN NaN NaN NaN NaN NaN
g35-g58-normed 11 0 3 3 000 21 8 0.00830698
g35-g59-normed 11 0 6 3 001 23 4 0.0162861
g35-g60-normed 11 0 29 46 524 56242 1343 1.29939
g35-g66-normed 11 0 14 11 002 4 0 0.00265288
g35-g73-normed 11 0 159 86 1949 200980 2131 1.41434
g35-g82-normed 11 0 37 46 007 21 3 0.0133491
g35-g86-normed 11 0 15 15 000 7 0 3.88622e-05
g35-g93-normed 11 0 41602 39681 NaN NaN 159882 689.993
g36-g58-normed 11 0 3 3 003 127 3 0.00703096
g36-g59-normed 11 0 5 3 001 73 2 0.00337696
g36-g60-normed 11 0 39 34 261 215004 533 0.707723
g36-g66-normed 11 0 21 12 002 NaN 2 0.00405097
g36-g73-normed 11 0 174 96 1842 NaN 810 0.861831
g36-g82-normed 11 0 41 39 002 NaN 4 0.010354
g36-g86-normed 11 0 13 13 002 7 0 5.50747e-05
g36-g93-normed 11 X NaN NaN NaN NaN NaN NaN
g37-g58-normed 11 0 6 3 000 2 0 0.000530005
g37-g59-normed 11 0 4 4 000 3 1 0.00149703
g37-g60-normed 11 0 10 7 000 1379 298 77.9328
g37-g66-normed 11 0 12 16 002 32 0 7.10487e-05
g37-g73-normed 11 0 13 24 002 25184 652 215.795
g37-g82-normed 11 0 35 35 003 164 0 0.000221014
g37-g86-normed 11 0 22 13 002 7 0 5.4121e-05
g37-g93-normed 11 0 NaN NaN NaN NaN NaN 458.905
g38-g58-normed 11 0 4 4 002 NaN 0 3.79086e-05
g38-g59-normed 11 0 6 4 000 NaN 0 2.40803e-05
g38-g60-normed 11 0 11 7 030 NaN 1 0.0301249
g38-g66-normed 11 0 8 8 000 NaN 0 5.60284e-05
g38-g73-normed 11 0 15 15 041 NaN 5 0.0430522
g38-g82-normed 11 0 27 26 003 NaN 0 0.000157118
g38-g86-normed 11 0 18 17 004 NaN 0 3.91006e-05
g38-g93-normed 11 X NaN NaN NaN NaN NaN NaN
g39-g58-normed 11 0 3 3 002 1481 4 0.00525498
g39-g59-normed 11 0 3 3 001 661 3 0.00528789
g39-g60-normed 11 0 33 33 381 NaN 1106 4.13486
g39-g66-normed 11 0 13 16 000 825419 0 0.00383019
g39-g73-normed 11 0 88 84 1538 NaN 2130 5.42396
g39-g82-normed 11 0 56 34 005 NaN 3 0.0187411
g39-g86-normed 11 0 15 13 002 15 0 5.19753e-05
g39-g93-normed 11 X NaN NaN NaN NaN NaN NaN
g4-g58-normed 11 0 1 1 000 1 0 0.00197196
g4-g59-normed 11 0 1 1 000 2 1 0.00967216
g4-g60-normed 11 1 2 2 002 286 129 0.180927
g4-g66-normed 11 0 5 5 002 3 0 0.00390911
g4-g73-normed 11 1 6 5 003 3 0 0.000178099
g4-g82-normed 11 0 18 18 005 21 4 0.00995111
g4-g86-normed 11 0 7 7 003 7 0 6.79493e-05
g4-g93-normed 11 0 4177 4569 30902 455054 191351 467.995
g40-g58-normed 11 0 8 8 004 3 0 1.09673e-05
g40-g59-normed 11 0 8 10 006 1 0 1.19209e-05
g40-g60-normed 11 0 13 12 006 2 0 4.60148e-05
g40-g66-normed 11 0 11 11 008 5 0 9.08375e-05
g40-g73-normed 11 0 13 12 004 8 0 8.2016e-05
g40-g82-normed 11 0 22 22 008 22 0 0.000148058
g40-g86-normed 11 0 29 18 005 13 0 5.6982e-05
g40-g93-normed 11 0 5431 5546 612 1527 930 462.882
g41-g58-normed 11 0 5 4 000 122 3 0.00679994
g41-g59-normed 11 0 6 4 000 82 3 0.00354314
g41-g60-normed 11 0 19 11 026 NaN 1125 5.39989
g41-g66-normed 11 0 13 26 001 4 0 0.00337195
g41-g73-normed 11 0 100 74 524 NaN 2430 6.41985
g41-g82-normed 11 0 36 37 006 21 3 0.0135431
g41-g86-normed 11 0 15 14 001 7 0 3.88622e-05
g41-g93-normed 11 X NaN NaN NaN NaN NaN NaN
g42-g58-normed 11 0 4 4 002 2 0 0.0012579
g42-g59-normed 11 0 4 4 001 8 1 0.00207496
g42-g60-normed 11 0 7 7 000 15716 6282 30.6052
g42-g66-normed 11 0 22 19 002 4 0 0.00317287
g42-g73-normed 11 0 79 45 087 43106 10052 63.6389
g42-g82-normed 11 0 38 36 004 31 4 0.0106518
g42-g86-normed 11 0 15 15 001 7 0 3.60012e-05
g42-g93-normed 11 0 28970 27584 NaN 455106 195128 466.971
g43-g58-normed 11 0 4 4 003 7 0 1.90735e-05
g43-g59-normed 11 0 7 4 001 6 0 2.5034e-05
g43-g60-normed 11 0 7 12 002 45195 251 9.543
g43-g66-normed 11 0 11 14 000 4 0 9.39369e-05
g43-g73-normed 11 0 15 14 004 146966 839 9.41951
g43-g82-normed 11 0 31 30 002 22 0 0.000144005
g43-g86-normed 11 0 16 21 002 8 0 3.79086e-05
g43-g93-normed 11 0 15158 15457 538668 NaN 116965 471.98
g44-g58-normed 11 0 5 5 000 73957 0 1.5974e-05
g44-g59-normed 11 0 5 5 001 33500 0 1.69277e-05
g44-g60-normed 11 0 9 8 002 NaN 53 0.187661
g44-g66-normed 11 0 10 10 000 385 0 4.88758e-05
g44-g73-normed 11 0 24 23 001 NaN 210 0.306801
g44-g82-normed 11 0 28 28 006 6466 0 0.000144005
g44-g86-normed 11 0 26 18 002 2636 0 5.48363e-05
g44-g93-normed 11 0 36896 37292 NaN NaN 256655 489.897
g45-g58-normed 11 0 5 5 002 78482 0 2.90871e-05
g45-g59-normed 11 0 5 5 000 42142 0 1.69277e-05
g45-g60-normed 11 0 13 9 001 NaN 0 0.194085
g45-g66-normed 11 0 10 10 000 384 0 8.08239e-05
g45-g73-normed 11 0 24 15 003 NaN 0 0.424919
g45-g82-normed 11 0 28 27 005 6493 0 0.000187874
g45-g86-normed 11 0 17 16 002 2642 0 3.88622e-05
g45-g93-normed 11 0 1625 1614 497 NaN 0 480.812
g46-g58-normed 11 0 5 5 001 2 0 7.89165e-05
g46-g59-normed 11 0 5 10 000 2 0 5.79357e-05
g46-g60-normed 11 0 11 7 001 172 71 0.250616
g46-g66-normed 11 0 10 14 001 4 0 4.91142e-05
g46-g73-normed 11 0 14 14 002 1904 158 0.301482
g46-g82-normed 11 0 42 27 005 16 0 0.000141859
g46-g86-normed 11 0 25 15 001 7 0 3.69549e-05
g46-g93-normed 11 X NaN NaN NaN NaN NaN NaN
g47-g58-normed 11 0 7 5 001 4 0 0.000101089
g47-g59-normed 11 0 6 5 002 2 0 5.88894e-05
g47-g60-normed 11 0 8 7 001 258 0 0.157554
g47-g66-normed 11 0 10 10 001 4 0 4.88758e-05
g47-g73-normed 11 0 14 14 001 1922 0 0.22497
g47-g82-normed 11 0 28 28 005 23 0 0.000142097
g47-g86-normed 11 0 17 15 003 11 0 5.29289e-05
g47-g93-normed 11 0 2010 1633 528 NaN 0 NaN
g48-g58-normed 11 0 5 5 000 1 0 2.59876e-05
g48-g59-normed 11 0 8 5 001 2 0 5.81741e-05
g48-g60-normed 11 0 8 9 001 187 36 0.395695
g48-g66-normed 11 0 16 10 001 3 0 4.79221e-05
g48-g73-normed 11 0 15 14 003 1304 165 0.57901
g48-g82-normed 11 0 30 28 004 16 0 0.000142097
g48-g86-normed 11 0 16 15 001 12 0 5.29289e-05
g48-g93-normed 11 0 NaN NaN NaN NaN NaN 497.52
g49-g58-normed 11 0 6 4 003 1 0 5.00679e-05
g49-g59-normed 11 0 4 4 003 2 0 0.000131845
g49-g60-normed 11 0 7 7 002 441 72212 125.011
g49-g66-normed 11 0 10 14 000 3 0 5.50747e-05
g49-g73-normed 11 0 14 25 003 1577 108076 144.921
g49-g82-normed 11 0 27 25 006 16 0 0.000164986
g49-g86-normed 11 0 15 14 002 7 0 5.19753e-05
g49-g93-normed 11 0 17949 18533 NaN NaN 176438 466.98
g5-g58-normed 11 0 1 1 009 27 13 0.0167041
g5-g59-normed 11 0 3 1 007 38 11 0.0101089
g5-g60-normed 11 1 4 3 003 29 8 0.000782967
g5-g66-normed 11 0 5 5 004 3 0 0.00216508
g5-g73-normed 11 1 7 7 009 96 54 0.0314419
g5-g82-normed 11 0 18 19 002 20 2 0.00990009
g5-g86-normed 11 0 13 8 001 7 0 3.79086e-05
g5-g93-normed 11 1 1483 1483 798 271 0 0.00971818
g50-g58-normed 11 0 12 8 003 1 0 1.21593e-05
g50-g59-normed 11 0 12 8 006 1 0 1.19209e-05
g50-g60-normed 11 0 14 10 007 3 0 3.19481e-05
g50-g66-normed 11 0 12 11 004 4 0 7.39098e-05
g50-g73-normed 11 0 15 15 003 5 0 5.88894e-05
g50-g82-normed 11 0 23 23 006 17 0 0.000201941
g50-g86-normed 11 0 20 19 005 8 0 3.60012e-05
g50-g93-normed 11 0 5406 5449 857 NaN 948 459.576
g6-g58-normed 11 0 1 1 004 1087 3 0.00569701
g6-g59-normed 11 0 2 1 003 1922 2 0.00283194
g6-g60-normed 11 0 12 12 189 373055 217 0.410851
g6-g66-normed 11 0 5 5 003 79 0 0.00228882
g6-g73-normed 11 0 40 23 185 NaN 342 0.687215
g6-g82-normed 11 0 20 20 006 440 48 0.0184669
g6-g86-normed 11 0 9 8 001 12 0 3.8147e-05
g6-g93-normed 11 1 1502 1483 1299 331 NaN 0.11126
g7-g58-normed 11 0 1 1 000 2 0 0.00178981
g7-g59-normed 11 0 1 1 000 2 0 0.00102782
g7-g60-normed 11 0 6 5 009 367064 76 0.100704
g7-g66-normed 11 0 5 5 027 13 0 0.0337062
g7-g73-normed 11 0 8 8 036 NaN 158 0.15972
g7-g82-normed 11 0 20 20 4056 86 33 0.115403
g7-g86-normed 11 0 7 7 003 7 0 6.00815e-05
g7-g93-normed 11 1 1478 1488 2937 67847 NaN 5.14097
g8-g58-normed 11 0 3 2 007 62 3 0.00907302
g8-g59-normed 11 0 2 2 007 90 5 0.00709414
g8-g60-normed 11 0 14 14 327 54955 415 2.73253
g8-g66-normed 11 0 6 6 003 14 1 0.00385189
g8-g73-normed 11 0 51 29 553 181227 842 3.60369
g8-g82-normed 11 0 34 22 006 145 14 0.0110569
g8-g86-normed 11 0 9 10 003 7 0 3.69549e-05
g8-g93-normed 11 X NaN NaN NaN NaN NaN NaN
g9-g58-normed 11 0 2 2 004 136441 2 0.447336
g9-g59-normed 11 0 2 2 005 NaN 4 0.718444
g9-g60-normed 11 1 39963 300 024 NaN NaN 0.192912
g9-g66-normed 11 0 6 6 000 3 0 0.00365806
g9-g73-normed 11 1 10 12 025 3815 11 0.169088
g9-g82-normed 11 0 22 23 003 37 3 0.0182409
g9-g86-normed 11 0 18 10 000 11 0 5.50747e-05
g9-g93-normed 11 0 12278 12643 502923 NaN 225149 460.456
phase-30-150-0.34-0.36-0.42-1 12 0 5041 4784 320086 NaN 244214 508.451
phase-30-150-0.34-0.36-0.42-2 12 0 24236 25324 NaN NaN NaN NaN
phase-30-150-0.34-0.36-0.42-3 12 0 15220 15209 NaN NaN NaN NaN
phase-30-150-0.34-0.36-0.42-4 12 0 17534 17163 NaN NaN NaN NaN
phase-30-150-0.34-0.36-0.42-5 12 0 17050 15701 NaN NaN NaN NaN
phase-30-150-0.34-0.36-0.42-6 12 0 4129 3998 308224 NaN 173989 177.518
phase-30-150-0.34-0.36-0.42-7 12 0 13987 13589 NaN NaN NaN NaN
phase-30-150-0.34-0.36-0.42-8 12 0 21730 21206 NaN NaN NaN NaN
phase-30-150-0.38-0.38-0.44-1 12 0 24003 26818 NaN NaN NaN NaN
phase-30-150-0.38-0.38-0.44-2 12 0 29237 30795 NaN NaN NaN NaN
phase-30-150-0.38-0.38-0.44-3 12 0 11060 14226 827615 NaN 916953 944.478
phase-30-150-0.38-0.38-0.44-4 12 0 23218 24160 NaN NaN NaN NaN
phase-30-150-0.38-0.38-0.44-5 12 0 9479 9238 532832 NaN 581896 749.787
phase-30-150-0.38-0.38-0.44-6 12 0 16475 15806 NaN NaN NaN NaN
phase-30-150-0.38-0.38-0.44-7 12 0 6377 5801 423648 NaN 278631 287.45
phase-30-150-0.38-0.38-0.44-8 12 0 18605 18167 NaN NaN NaN NaN
phase-30-150-0.40-0.46-0.48-1 12 0 32042 35278 NaN NaN NaN NaN
phase-30-150-0.40-0.46-0.48-2 12 0 31023 33748 NaN NaN NaN NaN
phase-30-150-0.40-0.46-0.48-3 12 0 32574 36246 NaN NaN NaN NaN
phase-30-150-0.40-0.46-0.48-4 12 0 37448 43692 NaN NaN NaN NaN
phase-30-150-0.40-0.46-0.48-5 12 0 35701 42691 NaN NaN NaN NaN
phase-30-150-0.40-0.46-0.48-6 12 0 30037 34787 NaN NaN NaN NaN
phase-30-150-0.40-0.46-0.48-7 12 0 32346 34853 NaN NaN NaN NaN
phase-30-150-0.40-0.46-0.48-8 12 0 29843 32134 NaN NaN NaN NaN
phase-30-150-0.42-0.46-0.50-1 12 0 33223 36384 NaN NaN NaN NaN
phase-30-150-0.42-0.46-0.50-2 12 0 28541 30796 NaN NaN NaN NaN
phase-30-150-0.42-0.46-0.50-3 12 0 40038 46913 NaN NaN NaN NaN
phase-30-150-0.42-0.46-0.50-4 12 0 35346 42238 NaN NaN NaN NaN
phase-30-150-0.42-0.46-0.50-5 12 0 39577 44963 NaN NaN NaN NaN
phase-30-150-0.42-0.46-0.50-6 12 0 29346 32815 NaN NaN NaN NaN
phase-30-150-0.42-0.46-0.50-7 12 0 33537 36404 NaN NaN NaN NaN
phase-30-150-0.42-0.46-0.50-8 12 0 38452 44755 NaN NaN NaN NaN
phase-30-150-0.44-0.46-0.50-1 12 0 33649 38059 NaN NaN NaN NaN
phase-30-150-0.44-0.46-0.50-2 12 0 32035 36757 NaN NaN NaN NaN
phase-30-150-0.44-0.46-0.50-3 12 0 37407 44284 NaN NaN NaN NaN
phase-30-150-0.44-0.46-0.50-4 12 0 32251 37149 NaN NaN NaN NaN
phase-30-150-0.44-0.46-0.50-5 12 0 33566 38738 NaN NaN NaN NaN
phase-30-150-0.44-0.46-0.50-6 12 0 39337 46503 NaN NaN NaN NaN
phase-30-150-0.44-0.46-0.50-7 12 0 34918 40576 NaN NaN NaN NaN
phase-30-150-0.44-0.46-0.50-8 12 0 39117 46322 NaN NaN NaN NaN
phase-30-150-0.46-0.50-0.52-1 12 0 41161 48736 NaN NaN NaN NaN
phase-30-150-0.46-0.50-0.52-2 12 0 38199 43129 NaN NaN NaN NaN
phase-30-150-0.46-0.50-0.52-3 12 0 39390 44455 NaN NaN NaN NaN
phase-30-150-0.46-0.50-0.52-4 12 0 39783 43893 NaN NaN NaN NaN
phase-30-150-0.46-0.50-0.52-5 12 0 39780 44755 NaN NaN NaN NaN
phase-30-150-0.46-0.50-0.52-6 12 0 38864 45354 NaN NaN NaN NaN
phase-30-150-0.46-0.50-0.52-7 12 0 38348 44548 NaN NaN NaN NaN
phase-30-150-0.46-0.50-0.52-8 12 0 39544 47939 NaN NaN NaN NaN
phase-30-150-0.48-0.50-0.54-1 12 0 35536 38621 NaN NaN NaN NaN
phase-30-150-0.48-0.50-0.54-2 12 0 41589 45122 NaN NaN NaN NaN
phase-30-150-0.48-0.50-0.54-3 12 0 41535 46625 NaN NaN NaN NaN
phase-30-150-0.48-0.50-0.54-4 12 0 37864 43270 NaN NaN NaN NaN
phase-30-150-0.48-0.50-0.54-5 12 0 37576 42081 NaN NaN NaN NaN
phase-30-150-0.48-0.50-0.54-6 12 0 40793 45631 NaN NaN NaN NaN
phase-30-150-0.48-0.50-0.54-7 12 0 36897 39884 NaN NaN NaN NaN
phase-30-150-0.48-0.50-0.54-8 12 0 38969 45518 NaN NaN NaN NaN
phase-30-150-0.50-0.52-0.54-1 12 0 38588 38673 NaN NaN NaN NaN
phase-30-150-0.50-0.52-0.54-2 12 0 42841 47103 NaN NaN NaN NaN
phase-30-150-0.50-0.52-0.54-3 12 0 36998 38714 NaN NaN NaN NaN
phase-30-150-0.50-0.52-0.54-4 12 0 39338 44277 NaN NaN NaN NaN
phase-30-150-0.50-0.52-0.54-5 12 0 41144 47818 NaN NaN NaN NaN
phase-30-150-0.50-0.52-0.54-6 12 0 45315 48585 NaN NaN NaN NaN
phase-30-150-0.50-0.52-0.54-7 12 0 37309 42940 NaN NaN NaN NaN
phase-30-150-0.50-0.52-0.54-8 12 0 40505 47028 NaN NaN NaN NaN
phase-30-150-0.52-0.54-0.56-1 12 0 28995 28786 NaN NaN NaN NaN
phase-30-150-0.52-0.54-0.56-2 12 0 34581 35467 NaN NaN NaN NaN
phase-30-150-0.52-0.54-0.56-3 12 0 51657 52099 NaN NaN NaN NaN
phase-30-150-0.52-0.54-0.56-4 12 0 35933 36701 NaN NaN NaN NaN
phase-30-150-0.52-0.54-0.56-5 12 0 31399 31596 NaN NaN NaN NaN
phase-30-150-0.52-0.54-0.56-6 12 0 38337 40426 NaN NaN NaN NaN
phase-30-150-0.52-0.54-0.56-7 12 0 34763 33717 NaN NaN NaN NaN
phase-30-150-0.52-0.54-0.56-8 12 0 25725 27285 NaN NaN NaN NaN
phase-30-150-0.54-0.56-0.58-1 12 0 34154 34167 NaN NaN NaN NaN
phase-30-150-0.54-0.56-0.58-2 12 0 57774 56922 NaN NaN NaN NaN
phase-30-150-0.54-0.56-0.58-3 12 0 32203 32483 NaN NaN NaN NaN
phase-30-150-0.54-0.56-0.58-4 12 0 35270 34702 NaN NaN NaN NaN
phase-30-150-0.54-0.56-0.58-5 12 0 37042 36239 NaN NaN NaN NaN
phase-30-150-0.54-0.56-0.58-6 12 0 28296 27388 NaN NaN NaN NaN
phase-30-150-0.54-0.56-0.58-7 12 0 20820 20831 NaN NaN NaN NaN
phase-30-150-0.54-0.56-0.58-8 12 0 24261 24403 NaN NaN NaN NaN
phase-30-150-0.56-0.56-0.60-1 12 0 29751 28939 NaN NaN NaN NaN
phase-30-150-0.56-0.56-0.60-2 12 0 26920 26201 NaN NaN NaN NaN
phase-30-150-0.56-0.56-0.60-3 12 0 18867 18521 NaN NaN NaN NaN
phase-30-150-0.56-0.56-0.60-4 12 0 31962 31325 NaN NaN NaN NaN
phase-30-150-0.56-0.56-0.60-5 12 0 26842 27773 NaN NaN NaN NaN
phase-30-150-0.56-0.56-0.60-6 12 0 27513 26154 NaN NaN NaN NaN
phase-30-150-0.56-0.56-0.60-7 12 0 29996 29365 NaN NaN NaN NaN
phase-30-150-0.56-0.56-0.60-8 12 0 29663 28899 NaN NaN NaN NaN
phase-30-150-0.60-0.58-0.62-1 12 0 12299 11962 NaN NaN NaN NaN
phase-30-150-0.60-0.58-0.62-2 12 0 25214 24194 NaN NaN NaN NaN
phase-30-150-0.60-0.58-0.62-3 12 0 19411 18513 NaN NaN NaN NaN
phase-30-150-0.60-0.58-0.62-4 12 0 12924 12748 NaN NaN NaN NaN
phase-30-150-0.60-0.58-0.62-5 12 0 22756 21624 NaN NaN NaN NaN
phase-30-150-0.60-0.58-0.62-6 12 0 19006 18595 NaN NaN NaN NaN
phase-30-150-0.60-0.58-0.62-7 12 0 24945 24421 NaN NaN NaN NaN
phase-30-150-0.60-0.58-0.62-8 12 0 35677 34613 NaN NaN NaN NaN
phase-30-150-0.64-0.62-0.64-1 12 0 22870 25554 NaN NaN NaN NaN
phase-30-150-0.64-0.62-0.64-2 12 0 7027 6916 NaN NaN NaN NaN
phase-30-150-0.64-0.62-0.64-3 12 0 20033 23221 NaN NaN NaN NaN
phase-30-150-0.64-0.62-0.64-4 12 0 19246 18736 NaN NaN NaN NaN
phase-30-150-0.64-0.62-0.64-5 12 0 18097 17439 NaN NaN NaN NaN
phase-30-150-0.64-0.62-0.64-6 12 0 14579 14027 NaN NaN NaN NaN
phase-30-150-0.64-0.62-0.64-7 12 0 26944 26300 NaN NaN NaN NaN
phase-30-150-0.64-0.62-0.64-8 12 0 26633 27083 NaN NaN NaN NaN
phase-30-150-0.66-0.64-0.66-1 12 0 27023 26403 NaN NaN NaN NaN
phase-30-150-0.66-0.64-0.66-2 12 0 76867 79464 NaN NaN NaN NaN
phase-30-150-0.66-0.64-0.66-3 12 0 15983 16323 NaN NaN NaN NaN
phase-30-150-0.66-0.64-0.66-4 12 0 53929 52815 NaN NaN NaN NaN
phase-30-150-0.66-0.64-0.66-5 12 0 16155 15774 NaN NaN NaN NaN
phase-30-150-0.66-0.64-0.66-6 12 0 12935 12757 NaN NaN NaN NaN
phase-30-150-0.66-0.64-0.66-7 12 0 22844 22359 NaN NaN NaN NaN
phase-30-150-0.66-0.64-0.66-8 12 0 21550 21561 NaN NaN NaN NaN
phase-30-150-0.68-0.64-0.68-1 12 0 46436 45977 NaN NaN NaN NaN
phase-30-150-0.68-0.64-0.68-2 12 0 39068 38474 NaN NaN NaN NaN
phase-30-150-0.68-0.64-0.68-3 12 0 10046 9367 NaN NaN NaN NaN
phase-30-150-0.68-0.64-0.68-4 12 0 50437 50798 NaN NaN NaN NaN
phase-30-150-0.68-0.64-0.68-5 12 0 15553 15425 NaN NaN NaN NaN
phase-30-150-0.68-0.64-0.68-6 12 0 8187 7841 NaN NaN NaN NaN
phase-30-150-0.68-0.64-0.68-7 12 0 17727 17224 NaN NaN NaN NaN
phase-30-150-0.68-0.64-0.68-8 12 0 29279 28382 NaN NaN NaN NaN
phase-30-150-0.70-0.66-0.70-1 12 0 26282 26647 NaN NaN NaN NaN
phase-30-150-0.70-0.66-0.70-2 12 0 13986 13722 NaN NaN NaN NaN
phase-30-150-0.70-0.66-0.70-3 12 0 60286 60062 NaN NaN NaN NaN
phase-30-150-0.70-0.66-0.70-4 12 0 57353 59241 NaN NaN NaN NaN
phase-30-150-0.70-0.66-0.70-5 12 0 29225 29095 NaN NaN NaN NaN
phase-30-150-0.70-0.66-0.70-6 12 0 58813 56016 NaN NaN NaN NaN
phase-30-150-0.70-0.66-0.70-7 12 0 7230 6337 NaN NaN NaN NaN
phase-30-150-0.70-0.66-0.70-8 12 0 13857 14095 NaN NaN NaN NaN
phase-30-150-0.72-0.66-0.70-1 12 0 7514 7337 NaN NaN NaN NaN
phase-30-150-0.72-0.66-0.70-2 12 0 75755 77940 NaN NaN NaN NaN
phase-30-150-0.72-0.66-0.70-3 12 0 43192 43580 NaN NaN NaN NaN
phase-30-150-0.72-0.66-0.70-4 12 0 196591 206033 NaN NaN NaN NaN
phase-30-150-0.72-0.66-0.70-5 12 0 109795 115826 NaN NaN NaN NaN
phase-30-150-0.72-0.66-0.70-6 12 0 16546 16390 NaN NaN NaN NaN
phase-30-150-0.72-0.66-0.70-7 12 0 20974 20425 NaN NaN NaN NaN
phase-30-150-0.72-0.66-0.70-8 12 0 15061 14891 NaN NaN NaN NaN
phase-30-150-0.74-0.68-0.70-1 12 0 29540 31431 NaN NaN NaN NaN
phase-30-150-0.74-0.68-0.70-2 12 0 36169 34883 NaN NaN NaN NaN
phase-30-150-0.74-0.68-0.70-3 12 0 4256 4280 NaN NaN NaN NaN
phase-30-150-0.74-0.68-0.70-4 12 0 31924 32884 NaN NaN NaN NaN
phase-30-150-0.74-0.68-0.70-5 12 0 256903 263066 NaN NaN NaN NaN
phase-30-150-0.74-0.68-0.70-6 12 0 172979 178001 NaN NaN NaN NaN
phase-30-150-0.74-0.68-0.70-7 12 0 23562 22393 NaN NaN NaN NaN
phase-30-150-0.74-0.68-0.70-8 12 0 290351 304382 NaN NaN NaN NaN
phase-30-150-0.76-0.70-0.72-1 12 0 182302 189224 NaN NaN NaN NaN
phase-30-150-0.76-0.70-0.72-2 12 0 9112 11164 NaN NaN NaN NaN
phase-30-150-0.76-0.70-0.72-3 12 0 29141 29872 NaN NaN NaN NaN
