instance family sat glasgowdegreenorestartsnonogoodsinduced glasgowbiasedinduced pathladinduced vf2induced vf3induced riinduced
si6_m4Dr6_m625.03 6 1 66 60 019 17 1 0.00105
si4_m4Dr2_m625.09 6 1 28 34 059 12 1 0.043895
si4_m4Dr2_m625.04 6 1 42 31 300 6 3 0.000265121
si4_m4Dr2_m625.02 6 1 27 41 026 12 0 0.000267029
si4_m4Dr2_m625.07 6 1 41 26 018 11 0 0.000398874
si4_m4Dr2_m625.00 6 1 27 39 035 6 0 0.000257969
si4_m4Dr2_m625.08 6 1 27 36 024 6 1 0.000247002
si4_m4Dr2_m625.01 6 1 27 27 049 11 0 0.000641823
si4_m4Dr2_m625.06 6 1 27 25 025 11 10 0.000261784
si4_m4Dr2_m625.03 6 1 29 37 050 12 1 0.000478029
si4_m4Dr2_m625.05 6 1 37 44 134 6 0 0.000412941
si2_r001_m600.00 7 1 26 34 16090 NaN 1508 0.014225
si2_r001_m600.06 7 1 81 38 7041 NaN 281 0.053308
si2_r001_m600.04 7 1 50 27 17350 NaN 10 0.00916791
si2_r001_m600.07 7 1 37 41 16763 NaN 5536 0.16823
si2_r001_m600.02 7 1 140 24 39566 NaN 1115 0.837191
si2_r001_m600.08 7 1 45 55 NaN NaN 20005 0.809294
si2_r001_m600.03 7 1 46 33 41437 NaN NaN 25.0036
si2_r001_m600.01 7 1 28 37 31331 NaN 2381 0.0750918
si2_r001_m600.05 7 1 52 90 21330 NaN 428 0.104296
si2_r001_m600.09 7 1 31 25 76948 NaN 179055 3.76049
si2_m4Dr2_m256.09 6 1 3 4 059 1 6 0.00692296
si2_m4Dr2_m256.03 6 1 36 18 129 1 46 0.052294
si2_m4Dr2_m256.04 6 1 8 8 054 1 15 0.031348
si2_m4Dr2_m256.07 6 1 3 3 012 1 0 0.000724077
si2_m4Dr2_m256.00 6 1 3 4 020 1 9 0.00381398
si2_m4Dr2_m256.06 6 1 4 5 159 1 264 0.109128
si2_m4Dr2_m256.08 6 1 2 2 006 2 0 0.000174046
si2_m4Dr2_m256.05 6 1 3 5 001 1 0 0.000169992
si2_m4Dr2_m256.01 6 1 3 4 053 1 3 0.0202701
si2_m4Dr2_m256.02 6 1 2 3 004 1 1 0.000248909
