instance family sat glasgowdegreenorestartsnonogoods glasgowantinorestartsnonogoods glasgowrandomnorestartsnonogoods glasgowbiasednorestartsnonogoods glasgowdegreenorestartsnonogoodsdds glasgowrandom glasgowbiased glasgowbiasednonogoods glasgowbiasedconstant10000threads36v2 glasgowbiasedconstant10000triggeredthreads36v2 glasgowbiasedthreads36v2
si6_r005_m400.07 7 1 32 354 357 95 26 60 32 39 76 79 80
si6_r005_m400.00 7 1 37 155 164 64 745 153 29 83 65 67 57
si6_r005_m400.01 7 1 24 87 78 27 130 65 29 46 57 54 62
si6_r005_m400.02 7 1 11 73 23 13 15 23 13 13 50 49 46
si6_r005_m400.04 7 1 10 68 18 19 51 18 19 19 54 56 60
si6_r005_m400.05 7 1 2 204 47 2 5 93 2 2 52 50 51
si6_r005_m400.09 7 1 4 36 24 4 5 24 4 4 52 50 49
si6_r005_m400.03 7 1 6 176 112 2 8 140 2 2 53 50 50
si6_r005_m400.06 7 1 5 60 41 4 3 38 4 4 45 45 45
si6_r005_m400.08 7 1 48 112 77 45 508 56 45 177 97 78 75
si6_m4Dr6_m625.04 6 1 7 7 7 7 7 9 10 6 131 130 130
si6_m4Dr6_m625.01 6 1 7 7 7 7 7 7 6 7 116 121 122
si6_m4Dr6_m625.09 6 1 9 10 10 7 9 9 9 8 121 121 120
si6_m4Dr6_m625.07 6 1 7 9 9 7 9 7 6 9 131 131 131
si6_m4Dr6_m625.00 6 1 7 7 7 7 7 9 9 6 132 131 130
si6_m4Dr6_m625.08 6 1 9 7 9 7 9 6 6 6 130 131 131
si6_m4Dr6_m625.05 6 1 7 7 7 7 7 6 6 7 128 131 130
si6_m4Dr6_m625.06 6 1 7 7 7 7 7 6 6 6 127 129 129
si6_m4Dr6_m625.02 6 1 10 7 10 10 7 8 9 7 132 130 127
si6_m4Dr6_m625.03 6 1 10 9 7 7 7 9 10 6 130 129 130
si4_m4Dr2_m625.09 6 1 4 4 4 4 3 4 4 3 83 83 81
si4_m4Dr2_m625.04 6 1 7 4 5 5 12 5 5 5 81 77 78
si4_m4Dr2_m625.02 6 1 4 3 4 4 5 4 4 4 80 76 80
si4_m4Dr2_m625.07 6 1 4 3 4 4 4 2 2 2 81 82 87
si4_m4Dr2_m625.00 6 1 3 3 3 3 3 4 3 4 84 83 82
si4_m4Dr2_m625.08 6 1 4 4 4 4 4 4 4 2 79 82 82
si4_m4Dr2_m625.01 6 1 3 3 3 3 3 2 4 3 82 80 81
si4_m4Dr2_m625.06 6 1 3 3 3 3 3 2 2 2 82 82 81
si4_m4Dr2_m625.03 6 1 3 3 3 3 3 4 4 3 83 83 83
si4_m4Dr2_m625.05 6 1 4 4 4 4 4 4 3 4 83 82 83
si2_r001_m600.00 7 1 4 42 9 8 40 11 12 12 36 37 36
si2_r001_m600.06 7 1 94 69 47 114 3320 110 100 341 40 44 38
si2_r001_m600.04 7 1 20 84 44 8 32 66 9 9 36 40 37
