instance family sat glasgowdegreenorestartsnonogoods glasgowantinorestartsnonogoods glasgowrandomnorestartsnonogoods glasgowbiasednorestartsnonogoods glasgowdegreenorestartsnonogoodsdds glasgowrandom glasgowbiased glasgowbiasednonogoods glasgowbiasedconstant10000threads36v2 glasgowbiasedconstant10000triggeredthreads36v2 glasgowbiasedthreads36v2
si6_r005_m400.07 7 1 1068 12131 12286 3264 1048 1990 1080 1317 17647 19424 16097
si6_r005_m400.00 7 1 884 3709 3804 1548 19347 3704 694 2036 15223 17182 8158
si6_r005_m400.01 7 1 597 2017 1845 682 3939 1534 725 1192 9828 8556 13079
si6_r005_m400.02 7 1 211 1534 470 265 366 470 265 265 1082 1432 1080
si6_r005_m400.04 7 1 211 1448 391 405 1342 391 405 405 2612 3265 4231
si6_r005_m400.05 7 1 9 5676 1297 6 146 2548 6 6 1528 1649 1043
si6_r005_m400.09 7 1 66 667 448 65 51 448 65 65 804 677 818
si6_r005_m400.03 7 1 123 4431 2801 20 287 3530 20 20 1732 1114 1221
si6_r005_m400.06 7 1 76 1141 797 49 68 724 49 49 991 1111 1066
si6_r005_m400.08 7 1 1198 2549 1789 1090 13175 1298 1098 4422 23757 16798 14126
si6_m4Dr6_m625.04 6 1 2 2 2 2 2 2 2 2 2 2 4
si6_m4Dr6_m625.01 6 1 2 2 2 2 2 2 2 2 2 4 4
si6_m4Dr6_m625.09 6 1 4 4 4 4 4 4 4 4 16 5 16
si6_m4Dr6_m625.07 6 1 6 6 6 6 6 6 6 6 7 12 6
si6_m4Dr6_m625.00 6 1 2 2 2 2 2 2 2 2 2 2 10
si6_m4Dr6_m625.08 6 1 4 4 4 4 4 4 4 4 12 4 4
si6_m4Dr6_m625.05 6 1 3 3 3 3 3 3 3 3 3 3 3
si6_m4Dr6_m625.06 6 1 1 1 1 1 1 1 1 1 2 1 1
si6_m4Dr6_m625.02 6 1 2 2 2 2 2 2 2 2 2 2 2
si6_m4Dr6_m625.03 6 1 2 2 2 2 2 2 2 2 2 2 2
si4_m4Dr2_m625.09 6 1 19 19 19 19 19 19 19 19 19 19 19
si4_m4Dr2_m625.04 6 1 66 16 70 66 183 70 66 66 968 662 847
si4_m4Dr2_m625.02 6 1 6 6 6 6 6 6 6 6 12 18 6
si4_m4Dr2_m625.07 6 1 16 16 16 16 16 16 16 16 16 16 57
si4_m4Dr2_m625.00 6 1 11 10 10 10 17 10 10 10 69 61 61
si4_m4Dr2_m625.08 6 1 11 11 11 11 11 11 11 11 11 21 12
si4_m4Dr2_m625.01 6 1 9 9 9 9 9 9 9 9 27 18 9
si4_m4Dr2_m625.06 6 1 14 14 14 14 14 14 14 14 49 62 49
