instance family mcsplitdown2 mcsplitdownbiasedrestarts2
si4_b03_m800.01 3 10 11
si4_b03_m800.06 3 9 9
si4_b03_m800.07 3 13 11
si6_m4D_m1296.02 5 61 84
si6_m4D_m1296.07 5 93 81
si6_m4D_m1296.05 5 82 49
si6_m4D_m1296.09 5 121 114
si6_m4D_m1296.00 5 66223 1619
si6_m4D_m1296.08 5 59 70
si6_m4D_m1296.04 5 68 56
si6_m4D_m1296.06 5 88 391
si6_m4D_m1296.01 5 17708 221
si6_m4D_m1296.03 5 960 162
si6_r001_m200.05 7 39 38
si6_r001_m200.09 7 8 13
si6_r001_m200.07 7 1 1
si6_r001_m200.02 7 7 11
si6_r001_m200.01 7 2 2
si6_r001_m200.00 7 2 2
si6_r001_m200.04 7 6 31
si6_r001_m200.06 7 1 2
si6_r001_m200.08 7 2 2
si6_r001_m200.03 7 3 1
si4_b06_m400.06 3 3 4
si4_b06_m400.07 3 3 4
si4_b06_m400.09 3 3 3
si4_b06_m400.01 3 4 2
si4_b06_m400.04 3 3 3
si4_b06_m400.03 3 4 3
si4_b06_m400.00 3 4 3
si4_b06_m400.05 3 2 3
si4_b06_m400.08 3 2 4
si4_b06_m400.02 3 4 3
si2_m4Dr6_m256.06 6 9 10
si2_m4Dr6_m256.05 6 1 1
si2_m4Dr6_m256.09 6 10 9
si2_m4Dr6_m256.00 6 8 12
si2_m4Dr6_m256.07 6 1 1
si2_m4Dr6_m256.04 6 1 1
si2_m4Dr6_m256.02 6 1 1
si2_m4Dr6_m256.01 6 48 2
si2_m4Dr6_m256.08 6 3 7
si2_m4Dr6_m256.03 6 1 1
si6_r01_m200.04 7 1 3
si6_r01_m200.08 7 5 8
si6_r01_m200.02 7 8 13
si6_r01_m200.09 7 1 6
si6_r01_m200.07 7 4 2
si6_r01_m200.00 7 7 7
si6_r01_m200.01 7 4 5
si6_r01_m200.03 7 25 17
si6_r01_m200.05 7 7 7
si6_r01_m200.06 7 3 2
si2_b03m_m800.03 4 11 33
si2_b03m_m800.02 4 8 7
si2_b03m_m800.09 4 6 29
si2_b03m_m800.04 4 9 8
si2_b03m_m800.06 4 6 14
si2_b03m_m800.05 4 6 14
si2_b03m_m800.01 4 6 9
si2_b03m_m800.08 4 6 8
si2_b03m_m800.07 4 NaN 322
si2_b03m_m800.00 4 7 7
si2_r001_m200.06 7 5 7
si2_r001_m200.01 7 331 107
si2_r001_m200.02 7 193 185
si2_r001_m200.07 7 1 0
si2_r001_m200.04 7 2 9
si2_r001_m200.05 7 NaN 28
si2_r001_m200.09 7 49909 218
si2_r001_m200.03 7 2151 70
si2_r001_m200.00 7 0 0
