instance family sat glasgowdegreenorestartsnonogoodsinduced glasgowbiasedinduced
si4_m4Dr2_m625.07 6 1 16 16
si4_m4Dr2_m625.00 6 1 10 10
si4_m4Dr2_m625.08 6 1 10 10
si4_m4Dr2_m625.01 6 1 9 9
si4_m4Dr2_m625.06 6 1 14 14
si4_m4Dr2_m625.03 6 1 13 13
si4_m4Dr2_m625.05 6 1 10 10
si2_r001_m600.00 7 1 100 216
si2_r001_m600.06 7 1 1591 1612
si2_r001_m600.04 7 1 322 240
si2_r001_m600.07 7 1 375 638
si2_r001_m600.02 7 1 68 29
si2_r001_m600.08 7 1 805 1344
si2_r001_m600.03 7 1 936 446
si2_r001_m600.01 7 1 164 145
si2_r001_m600.05 7 1 977 1087
si2_r001_m600.09 7 1 101 71
si2_m4Dr2_m256.09 6 1 18 18
si2_m4Dr2_m256.03 6 1 2846 1571
si2_m4Dr2_m256.04 6 1 550 303
si2_m4Dr2_m256.07 6 1 7 8
si2_m4Dr2_m256.00 6 1 22 14
si2_m4Dr2_m256.06 6 1 316 491
si2_m4Dr2_m256.08 6 1 7 7
si2_m4Dr2_m256.05 6 1 3 3
si2_m4Dr2_m256.01 6 1 15 15
si2_m4Dr2_m256.02 6 1 17 4
si6_r001_m600.09 7 1 2 2
si6_r001_m600.00 7 1 7 7
si6_r001_m600.07 7 1 5 8
si6_r001_m600.03 7 1 4 4
si6_r001_m600.01 7 1 6 6
si6_r001_m600.06 7 1 4 7
si6_r001_m600.08 7 1 3 11
si6_r001_m600.02 7 1 2 2
si6_r001_m600.04 7 1 3 3
si6_r001_m600.05 7 1 2 2
si2_m4Dr2_m1296.05 6 1 33 33
si2_m4Dr2_m1296.09 6 1 27 27
si2_m4Dr2_m1296.02 6 1 322 382
si2_m4Dr2_m1296.07 6 1 9 9
si2_m4Dr2_m1296.00 6 1 28 28
si2_m4Dr2_m1296.06 6 1 25 25
si2_m4Dr2_m1296.08 6 1 30 30
si2_m4Dr2_m1296.01 6 1 58 58
si2_m4Dr2_m1296.03 6 1 22 22
si2_m4Dr2_m1296.04 6 1 30 30
si4_b06m_m800.08 4 1 20 20
si4_b06m_m800.00 4 1 11 11
si4_b06m_m800.06 4 1 18 18
si4_b06m_m800.05 4 1 14 14
si4_b06m_m800.04 4 1 17 17
si4_b06m_m800.09 4 1 23 23
si4_b06m_m800.01 4 1 11 11
si4_b06m_m800.07 4 1 17 17
si4_b06m_m800.03 4 1 20 20
si4_b06m_m800.02 4 1 11 11
si6_m4Dr2_m625.08 6 1 10 10
si6_m4Dr2_m625.09 6 1 12 12
si6_m4Dr2_m625.05 6 1 4 4
si6_m4Dr2_m625.01 6 1 11 11
si6_m4Dr2_m625.06 6 1 9 9
si6_m4Dr2_m625.00 6 1 20 20
si6_m4Dr2_m625.03 6 1 14 14
si6_m4Dr2_m625.02 6 1 5 5
si6_m4Dr2_m625.07 6 1 5 5
si6_m4Dr2_m625.04 6 1 2 2
si2_m4D_m1296.01 5 1 902 325
si2_m4D_m1296.08 5 1 3 3
si2_m4D_m1296.06 5 1 50 160
si2_m4D_m1296.05 5 1 2 7
si2_m4D_m1296.09 5 1 6 3
si2_m4D_m1296.03 5 1 63 243
si2_m4D_m1296.07 5 1 4 4
si2_m4D_m1296.02 5 1 2 5
si2_m4D_m1296.04 5 1 30 2
si2_m4D_m1296.00 5 1 4 4
si4_b03_m800.05 3 1 3 3
si4_b03_m800.00 3 1 3 3
si4_b03_m800.08 3 1 3 3
si4_b03_m800.09 3 1 3 3
si4_b03_m800.03 3 1 3 3
si4_b03_m800.02 3 1 3 3
si4_b03_m800.04 3 1 3 3
si4_b03_m800.01 3 1 3 3
si4_b03_m800.06 3 1 3 3
si4_b03_m800.07 3 1 3 3
si6_m4D_m1296.02 5 1 112 105
si6_m4D_m1296.07 5 1 240 845
si6_m4D_m1296.05 5 1 105 131
si6_m4D_m1296.09 5 1 234 149
si6_m4D_m1296.00 5 1 3530404 73804
si6_m4D_m1296.08 5 1 112 113
